"category"	"over_represented_pvalue"	"under_represented_pvalue"	"numDEInCat"	"numInCat"	"term"	"ontology"
"GO:0045597"	9.65454564367167e-10	1	134	639	"positive regulation of cell differentiation"	"BP"
"GO:1901342"	9.82894119147737e-10	0.999999999702754	53	178	"regulation of vasculature development"	"BP"
"GO:0019838"	1.00123262775372e-09	0.999999999756319	39	111	"growth factor binding"	"MF"
"GO:0017144"	1.12064968418759e-09	0.999999999828984	25	53	"drug metabolic process"	"BP"
"GO:0030414"	1.19208537400393e-09	0.999999999706458	39	114	"peptidase inhibitor activity"	"MF"
"GO:0010466"	1.30956169213192e-09	0.999999999618873	49	161	"negative regulation of peptidase activity"	"BP"
"GO:0006928"	1.37746055153439e-09	1	209	1126	"movement of cell or subcellular component"	"BP"
"GO:0071310"	1.42934414275721e-09	1	216	1169	"cellular response to organic substance"	"BP"
"GO:0022603"	1.50579937675531e-09	1	142	692	"regulation of anatomical structure morphogenesis"	"BP"
"GO:0038023"	1.62405769346292e-09	1	106	472	"signaling receptor activity"	"MF"
"GO:0061135"	1.63096687597542e-09	0.99999999959313	39	115	"endopeptidase regulator activity"	"MF"
"GO:0048513"	1.8970433133568e-09	1	335	1989	"organ development"	"BP"
"GO:0032879"	2.02297104529168e-09	1	292	1698	"regulation of localization"	"BP"
"GO:0031589"	2.43513842635815e-09	1	63	233	"cell-substrate adhesion"	"BP"
"GO:0030154"	2.61148734270832e-09	1	396	2429	"cell differentiation"	"BP"
"GO:1901615"	2.66373561623798e-09	1	82	341	"organic hydroxy compound metabolic process"	"BP"
"GO:0006805"	2.79814030689448e-09	0.999999999438439	30	75	"xenobiotic metabolic process"	"BP"
"GO:0007166"	3.2625990720956e-09	1	265	1509	"cell surface receptor signaling pathway"	"BP"
"GO:0009605"	3.75872766963317e-09	1	238	1347	"response to external stimulus"	"BP"
"GO:0010562"	4.93021398314337e-09	1	144	719	"positive regulation of phosphorus metabolic process"	"BP"
"GO:0045937"	4.93021398314337e-09	1	144	719	"positive regulation of phosphate metabolic process"	"BP"
"GO:0043168"	6.56000310087524e-09	1	348	2093	"anion binding"	"MF"
"GO:0051346"	6.8091488582118e-09	1	68	272	"negative regulation of hydrolase activity"	"BP"
"GO:0004867"	9.43344198910053e-09	0.999999998130786	27	67	"serine-type endopeptidase inhibitor activity"	"MF"
"GO:0006690"	9.93809919360557e-09	0.999999997798285	30	79	"icosanoid metabolic process"	"BP"
"GO:1901568"	9.93809919360557e-09	0.999999997798285	30	79	"fatty acid derivative metabolic process"	"BP"
"GO:0061134"	1.0713303914661e-08	0.999999996721583	43	142	"peptidase regulator activity"	"MF"
"GO:0045595"	1.07291195689907e-08	1	199	1086	"regulation of cell differentiation"	"BP"
"GO:0071466"	1.19858932440687e-08	0.999999997320771	30	79	"cellular response to xenobiotic stimulus"	"BP"
"GO:0007599"	1.46965799655668e-08	0.99999999524464	46	154	"hemostasis"	"BP"
"GO:0005201"	1.58279908749031e-08	0.999999998933588	14	21	"extracellular matrix structural constituent"	"MF"
"GO:0008610"	1.79262822489458e-08	1	94	428	"lipid biosynthetic process"	"BP"
"GO:0033559"	1.83426960687639e-08	0.999999995632405	31	85	"unsaturated fatty acid metabolic process"	"BP"
"GO:0005518"	1.86027117289752e-08	0.999999997007478	22	48	"collagen binding"	"MF"
"GO:0051241"	2.05989916341944e-08	1	140	713	"negative regulation of multicellular organismal process"	"BP"
"GO:0010951"	2.66245906666207e-08	0.999999991805493	41	134	"negative regulation of endopeptidase activity"	"BP"
"GO:0042738"	2.66580862662369e-08	0.999999996152323	20	41	"exogenous drug catabolic process"	"BP"
"GO:0007596"	2.81946432272411e-08	0.999999990730766	45	152	"blood coagulation"	"BP"
"GO:0071363"	2.93586926790611e-08	1	82	355	"cellular response to growth factor stimulus"	"BP"
"GO:0003008"	3.1563967443036e-08	1	150	780	"system process"	"BP"
"GO:0030199"	3.3750347900707e-08	0.999999996574015	16	28	"collagen fibril organization"	"BP"
"GO:0070848"	3.76208578743335e-08	1	83	363	"response to growth factor"	"BP"
"GO:0019369"	3.77357567929243e-08	0.999999993592643	22	49	"arachidonic acid metabolic process"	"BP"
"00590"	3.79680974873552e-08	0.999999992415516	25	62	"Arachidonic acid metabolism"	"KEGG"
"GO:0009410"	4.36137643788815e-08	0.99999998942669	30	83	"response to xenobiotic stimulus"	"BP"
"GO:0050817"	4.39261408787558e-08	0.999999985288298	45	154	"coagulation"	"BP"
"GO:0042737"	4.49085093471848e-08	0.999999993201685	20	42	"drug catabolic process"	"BP"
"GO:0044282"	4.93552349259984e-08	1	57	220	"small molecule catabolic process"	"BP"
"GO:0015711"	5.30372202190288e-08	1	62	247	"organic anion transport"	"BP"
"GO:0030335"	6.29689694438478e-08	1	71	302	"positive regulation of cell migration"	"BP"
"GO:0060089"	7.1034653765109e-08	1	148	771	"molecular transducer activity"	"MF"
"GO:0050649"	7.90807132493377e-08	1	8	8	"testosterone 6-beta-hydroxylase activity"	"MF"
"GO:0042327"	8.14420663910642e-08	1	128	648	"positive regulation of phosphorylation"	"BP"
"GO:0016053"	9.14952725197646e-08	1	56	220	"organic acid biosynthetic process"	"BP"
"GO:0046394"	9.14952725197646e-08	1	56	220	"carboxylic acid biosynthetic process"	"BP"
"GO:2000147"	9.19297588332511e-08	1	72	311	"positive regulation of cell motility"	"BP"
"GO:0051716"	9.60280014362828e-08	1	622	4185	"cellular response to stimulus"	"BP"
"GO:0001934"	1.06399573536021e-07	1	122	613	"positive regulation of protein phosphorylation"	"BP"
"GO:0051272"	1.07820916340909e-07	1	73	318	"positive regulation of cellular component movement"	"BP"
"00010"	1.16655708604394e-07	0.999999978260961	22	52	"Glycolysis / Gluconeogenesis"	"KEGG"
"GO:0043167"	1.29294474811451e-07	1	619	4159	"ion binding"	"MF"
"GO:0048869"	1.43774796736976e-07	1	413	2638	"cellular developmental process"	"BP"
"GO:0019825"	1.51375592725387e-07	0.999999972711698	21	49	"oxygen binding"	"MF"
"GO:0006820"	1.53236400326075e-07	1	77	341	"anion transport"	"BP"
"GO:0006954"	1.63950417151852e-07	1	83	385	"inflammatory response"	"BP"
"GO:0007154"	1.69655654248024e-07	1	533	3526	"cell communication"	"BP"
"GO:0048519"	1.74337053843481e-07	1	492	3236	"negative regulation of biological process"	"BP"
"GO:0040017"	1.76985147529152e-07	1	73	322	"positive regulation of locomotion"	"BP"
"GO:0006732"	1.80977696067961e-07	1	61	253	"coenzyme metabolic process"	"BP"
"GO:0044700"	1.92344067633829e-07	1	508	3341	"single organism signaling"	"BP"
"GO:0050920"	2.03290791687596e-07	0.999999937275319	36	118	"regulation of chemotaxis"	"BP"
"GO:0023052"	2.24479073015375e-07	1	508	3345	"signaling"	"BP"
"GO:0045861"	2.30017218668508e-07	1	59	245	"negative regulation of proteolysis"	"BP"
"GO:0006066"	2.56512291435508e-07	1	58	238	"alcohol metabolic process"	"BP"
"GO:0008391"	2.66837126159012e-07	0.999999955743177	19	42	"arachidonic acid monooxygenase activity"	"MF"
"04510"	2.73942685825123e-07	0.99999989804028	47	172	"Focal adhesion"	"KEGG"
"GO:0048518"	2.78286934503407e-07	1	567	3803	"positive regulation of biological process"	"BP"
"GO:0098609"	2.94984041311917e-07	1	114	577	"cell-cell adhesion"	"BP"
"GO:0001503"	3.04634947068986e-07	1	62	260	"ossification"	"BP"
"GO:0070330"	3.39193704617623e-07	0.999999959867201	15	28	"aromatase activity"	"MF"
"GO:0045766"	3.6787541044392e-07	0.999999895590521	31	96	"positive regulation of angiogenesis"	"BP"
"GO:0048407"	4.10572598479727e-07	0.999999988122343	9	11	"platelet-derived growth factor binding"	"MF"
"GO:0051186"	4.11136012603835e-07	1	68	301	"cofactor metabolic process"	"BP"
"GO:0060326"	4.14010946360229e-07	0.999999848564395	44	164	"cell chemotaxis"	"BP"
"GO:0060429"	4.60609432055938e-07	1	134	704	"epithelium development"	"BP"
"GO:0050795"	5.01444184059314e-07	0.999999823230777	41	147	"regulation of behavior"	"BP"
"GO:1901606"	5.03789429294216e-07	0.999999889339283	23	60	"alpha-amino acid catabolic process"	"BP"
"GO:0010876"	5.06235450344475e-07	1	59	249	"lipid localization"	"BP"
"GO:0010631"	5.56483263778718e-07	0.999999791599706	45	167	"epithelial cell migration"	"BP"
"04610"	5.6560431051216e-07	0.999999858439932	26	74	"Complement and coagulation cascades"	"KEGG"
"GO:0008392"	6.01613706204393e-07	0.999999899645038	18	40	"arachidonic acid epoxygenase activity"	"MF"
"GO:0048523"	6.14767730550473e-07	0.999999736100137	461	3024	"negative regulation of cellular process"	"BP"
"GO:0090132"	6.70623159431613e-07	0.999999746777857	45	168	"epithelium migration"	"BP"
"GO:0044259"	7.42433655720808e-07	0.9999998394882	22	57	"multicellular organismal macromolecule metabolic process"	"BP"
"GO:0010817"	7.6205823792663e-07	1	67	297	"regulation of hormone levels"	"BP"
"GO:0090130"	7.90161417460524e-07	0.999999699421449	45	169	"tissue migration"	"BP"
"GO:0097367"	8.01624077783231e-07	0.999999667346065	287	1745	"carbohydrate derivative binding"	"MF"
"00140"	8.43757613426556e-07	0.999999843857461	19	45	"Steroid hormone biosynthesis"	"KEGG"
"GO:0009887"	8.50101587997173e-07	0.99999968606882	119	608	"organ morphogenesis"	"BP"
"GO:0045834"	9.013750022935e-07	0.999999717592383	33	109	"positive regulation of lipid metabolic process"	"BP"
"GO:0008284"	9.09121907278199e-07	0.999999666400824	114	587	"positive regulation of cell proliferation"	"BP"
"GO:0048584"	9.2151145010603e-07	0.999999627676334	218	1283	"positive regulation of response to stimulus"	"BP"
"GO:0015718"	9.66327493714547e-07	0.999999717551033	30	94	"monocarboxylic acid transport"	"BP"
"04060"	9.68195324627433e-07	0.999999642586378	42	156	"Cytokine-cytokine receptor interaction"	"KEGG"
"GO:0042802"	9.7233640137073e-07	0.999999616863303	177	1007	"identical protein binding"	"MF"
"GO:0004871"	1.01990741150296e-06	0.999999618362153	126	657	"signal transducer activity"	"MF"
"GO:0048037"	1.074451313275e-06	0.999999667843175	57	238	"cofactor binding"	"MF"
"GO:0015909"	1.11534497582941e-06	0.999999844944307	15	31	"long-chain fatty acid transport"	"BP"
"GO:0015849"	1.16142498714997e-06	0.999999539784906	47	181	"organic acid transport"	"BP"
"GO:0048522"	1.16499684796134e-06	0.99999933219497	509	3386	"positive regulation of cellular process"	"BP"
"GO:0006639"	1.18482139037344e-06	0.999999648568043	30	96	"acylglycerol metabolic process"	"BP"
"GO:0016054"	1.19573100731411e-06	0.99999955496933	42	155	"organic acid catabolic process"	"BP"
"GO:0046395"	1.19573100731411e-06	0.99999955496933	42	155	"carboxylic acid catabolic process"	"BP"
"GO:0031406"	1.23571297450374e-06	0.999999539066726	42	156	"carboxylic acid binding"	"MF"
"GO:0043177"	1.23571297450374e-06	0.999999539066726	42	156	"organic acid binding"	"MF"
"GO:0098602"	1.30032045058452e-06	0.999999522429871	111	571	"single organism cell adhesion"	"BP"
"GO:0023051"	1.40540744436771e-06	0.999999220915034	316	1969	"regulation of signaling"	"BP"
"GO:0052547"	1.49980680367821e-06	0.999999389997086	62	274	"regulation of peptidase activity"	"BP"
"GO:0006793"	1.57489721339921e-06	0.99999911964249	343	2173	"phosphorus metabolic process"	"BP"
"GO:0006790"	1.60218061710766e-06	0.999999504674349	55	232	"sulfur compound metabolic process"	"BP"
"GO:0050900"	1.73688568097498e-06	0.999999305492407	46	183	"leukocyte migration"	"BP"
"GO:0044712"	1.84366235426991e-06	0.999999066921076	149	824	"single-organism catabolic process"	"BP"
"GO:0010647"	1.87752964138182e-06	0.999999018451871	184	1055	"positive regulation of cell communication"	"BP"
"GO:0006638"	1.90780179594983e-06	0.999999417402929	30	98	"neutral lipid metabolic process"	"BP"
"GO:0019220"	1.93792868511538e-06	0.999998976284119	198	1150	"regulation of phosphate metabolic process"	"BP"
"GO:0007165"	1.98834729622816e-06	0.999998728291007	472	3109	"signal transduction"	"BP"
"GO:1904018"	2.08127586464214e-06	0.999999345731741	31	103	"positive regulation of vasculature development"	"BP"
"GO:0046942"	2.13306202860314e-06	0.999999141986829	46	179	"carboxylic acid transport"	"BP"
"GO:0032963"	2.27712858196892e-06	0.999999486031514	21	56	"collagen metabolic process"	"BP"
"00983"	2.39731062473064e-06	0.999999456981204	21	56	"Drug metabolism - other enzymes"	"KEGG"
"GO:0006641"	2.40313220494255e-06	0.999999314533705	27	84	"triglyceride metabolic process"	"BP"
"GO:0023056"	2.5366489578057e-06	0.999998671453292	181	1040	"positive regulation of signaling"	"BP"
"GO:0010810"	2.67237867296757e-06	0.999999041953092	37	133	"regulation of cell-substrate adhesion"	"BP"
"GO:0010646"	2.93320520707267e-06	0.999998174762862	319	2003	"regulation of cell communication"	"BP"
"GO:0051174"	2.97622012556491e-06	0.999998247983643	198	1155	"regulation of phosphorus metabolic process"	"BP"
"GO:0009063"	3.04999833742366e-06	0.999999201096022	24	70	"cellular amino acid catabolic process"	"BP"
"GO:0005506"	3.05034029039441e-06	0.999998934951064	35	125	"iron ion binding"	"MF"
"GO:0007267"	3.16618843971489e-06	0.999998492447601	103	525	"cell-cell signaling"	"BP"
"GO:0007178"	3.21755239621888e-06	0.999998736688571	53	220	"transmembrane receptor protein serine/threonine kinase signaling pathway"	"BP"
"GO:0010632"	3.4710875398441e-06	0.999998780299715	35	125	"regulation of epithelial cell migration"	"BP"
"GO:0008283"	3.60676629835089e-06	0.999997727101323	219	1306	"cell proliferation"	"BP"
"GO:0051336"	3.73645871173706e-06	0.999997941837071	130	708	"regulation of hydrolase activity"	"BP"
"GO:0051093"	3.8202480614914e-06	0.999997968147851	110	571	"negative regulation of developmental process"	"BP"
"GO:0016125"	3.93264130070636e-06	0.999998744704689	30	101	"sterol metabolic process"	"BP"
"GO:1901700"	3.95822265382542e-06	0.999997764601778	148	824	"response to oxygen-containing compound"	"BP"
"GO:0005996"	4.01555490916272e-06	0.999998433640389	51	212	"monosaccharide metabolic process"	"BP"
"GO:0008203"	4.0857399314881e-06	0.999998724885889	29	96	"cholesterol metabolic process"	"BP"
"GO:1902652"	4.0857399314881e-06	0.999998724885889	29	96	"secondary alcohol metabolic process"	"BP"
"GO:0018149"	4.1576833836907e-06	0.999999677814048	10	16	"peptide cross-linking"	"BP"
"GO:0004930"	4.71907772193376e-06	0.999998101782035	43	167	"G-protein coupled receptor activity"	"MF"
"GO:0015908"	5.07783842558257e-06	0.999998890178444	19	50	"fatty acid transport"	"BP"
"GO:0040007"	5.3404137286275e-06	0.999996891632619	132	717	"growth"	"BP"
"GO:0048468"	5.42253564929278e-06	0.999996548998457	226	1353	"cell development"	"BP"
"GO:0006575"	5.81929550420393e-06	0.999997752235449	39	151	"cellular modified amino acid metabolic process"	"BP"
"GO:0001932"	5.88902967443162e-06	0.999996427488831	163	925	"regulation of protein phosphorylation"	"BP"
"GO:0046460"	5.99427115978105e-06	0.999998992006527	15	34	"neutral lipid biosynthetic process"	"BP"
"GO:0046463"	5.99427115978105e-06	0.999998992006527	15	34	"acylglycerol biosynthetic process"	"BP"
"GO:0044236"	5.99508763878533e-06	0.999998406591473	23	68	"multicellular organismal metabolic process"	"BP"
"GO:1901617"	6.00998768287267e-06	0.999997678719821	39	149	"organic hydroxy compound biosynthetic process"	"BP"
"GO:0030595"	6.27099728200783e-06	0.999997840365443	32	116	"leukocyte chemotaxis"	"BP"
"GO:0006694"	6.28872637104257e-06	0.999997841938726	32	113	"steroid biosynthetic process"	"BP"
"GO:0061041"	6.82866015378938e-06	0.999997802316497	29	97	"regulation of wound healing"	"BP"
"GO:0042127"	6.94757672950056e-06	0.999995570972467	183	1069	"regulation of cell proliferation"	"BP"
"GO:0045785"	6.96897794691057e-06	0.999996830323388	60	269	"positive regulation of cell adhesion"	"BP"
"GO:0016769"	7.19197369805902e-06	0.99999912027107	12	23	"transferase activity, transferring nitrogenous groups"	"MF"
"00620"	7.97009442388566e-06	0.999998493887743	16	39	"Pyruvate metabolism"	"KEGG"
"GO:1903034"	8.17581533288861e-06	0.999996140826422	60	273	"regulation of response to wounding"	"BP"
"00500"	8.48161860798155e-06	0.999998286234006	17	42	"Starch and sucrose metabolism"	"KEGG"
"GO:0043086"	8.53827464900615e-06	0.999995280559696	100	522	"negative regulation of catalytic activity"	"BP"
"GO:0043542"	8.54759147096867e-06	0.999997014493322	32	114	"endothelial cell migration"	"BP"
"GO:0006869"	9.03842377612376e-06	0.999996127153213	50	214	"lipid transport"	"BP"
"GO:0031214"	9.45010500514176e-06	0.9999972160744	25	79	"biomineral tissue development"	"BP"
"GO:0002685"	1.00734885472446e-05	0.999996508622238	31	112	"regulation of leukocyte migration"	"BP"
"GO:0007610"	1.01464316892511e-05	0.9999945033353	91	462	"behavior"	"BP"
"GO:0042325"	1.02922835236222e-05	0.999993449324529	174	1009	"regulation of phosphorylation"	"BP"
"GO:0030193"	1.06803811910354e-05	0.999997031694852	23	70	"regulation of blood coagulation"	"BP"
"GO:1900046"	1.06803811910354e-05	0.999997031694852	23	70	"regulation of hemostasis"	"BP"
"04974"	1.07078412295314e-05	0.999997639593865	18	47	"Protein digestion and absorption"	"KEGG"
"GO:0072524"	1.09337143473077e-05	0.999996046156984	33	121	"pyridine-containing compound metabolic process"	"BP"
"GO:0001649"	1.13391949536573e-05	0.999995476414406	39	152	"osteoblast differentiation"	"BP"
"GO:0005126"	1.13762787548094e-05	0.999995328075355	41	166	"cytokine receptor binding"	"MF"
"GO:0016051"	1.14352817357097e-05	0.999995640856328	36	135	"carbohydrate biosynthetic process"	"BP"
"GO:0016614"	1.16575481451545e-05	0.999995689015579	34	127	"oxidoreductase activity, acting on CH-OH group of donors"	"MF"
"GO:0051130"	1.18699838477306e-05	0.999992628591425	149	844	"positive regulation of cellular component organization"	"BP"
"GO:1901605"	1.22344205488505e-05	0.999994722642993	45	186	"alpha-amino acid metabolic process"	"BP"
"GO:0071495"	1.25776238667614e-05	0.999992505248127	121	651	"cellular response to endogenous stimulus"	"BP"
"GO:0045923"	1.26708118854457e-05	0.999997866566682	14	32	"positive regulation of fatty acid metabolic process"	"BP"
"GO:0001501"	1.27336747108721e-05	0.999993661890505	67	313	"skeletal system development"	"BP"
"GO:0009967"	1.28799738556048e-05	0.999991738564755	162	932	"positive regulation of signal transduction"	"BP"
"GO:0048029"	1.41402313493116e-05	0.999996121165546	22	67	"monosaccharide binding"	"MF"
"GO:0010811"	1.46113819187772e-05	0.999995554137917	25	81	"positive regulation of cell-substrate adhesion"	"BP"
"GO:0008083"	1.48893033129954e-05	0.999995454363072	25	82	"growth factor activity"	"MF"
"GO:0072330"	1.53716038784221e-05	0.999993764032282	39	155	"monocarboxylic acid biosynthetic process"	"BP"
"05146"	1.55723785686431e-05	0.999995110192922	26	85	"Amoebiasis"	"KEGG"
"03320"	1.57904722785702e-05	0.999995621850243	22	68	"PPAR signaling pathway"	"KEGG"
"GO:0006811"	1.58116404262422e-05	0.999989897580831	155	892	"ion transport"	"BP"
"GO:0006952"	1.69205121632378e-05	0.999989277366116	147	850	"defense response"	"BP"
"GO:0008483"	1.70644844490922e-05	0.999997940758311	11	21	"transaminase activity"	"MF"
"GO:0030246"	1.7333534982066e-05	0.999992318466111	46	194	"carbohydrate binding"	"MF"
"GO:0046889"	1.74274854970905e-05	0.999995327001047	21	63	"positive regulation of lipid biosynthetic process"	"BP"
"GO:0016049"	1.76144041718438e-05	0.999990774228174	72	349	"cell growth"	"BP"
"GO:0032101"	1.80210818029813e-05	0.99998950459094	105	565	"regulation of response to external stimulus"	"BP"
"GO:0002687"	1.89428890973655e-05	0.999994091083781	25	85	"positive regulation of leukocyte migration"	"BP"
"00910"	1.90112341370937e-05	0.999998024933447	10	18	"Nitrogen metabolism"	"KEGG"
"GO:1901565"	1.91824212148806e-05	0.99999163444944	44	184	"organonitrogen compound catabolic process"	"BP"
"GO:0016597"	2.00975835322693e-05	0.999993935739241	24	77	"amino acid binding"	"MF"
"GO:0050661"	2.02477473771809e-05	0.999996076052503	15	37	"NADP binding"	"MF"
"GO:0052689"	2.17765570257703e-05	0.999991794865215	33	125	"carboxylic ester hydrolase activity"	"MF"
